yourusername,~
PAC-MM-SynRLV2,whitelist
PAC-MM-SynRLV1,whitelist
PAC-MM-SynRLV1-SP,whitelist
PAC-MM-SynRLV0,whitelist
PAC-MM-LargeRL,whitelist
PAC-MM-SmallIL,whitelist
PAC-MM-SmallILFA,whitelist
PAC-MM-SmallRLG9,whitelist
PAC-MM-Abra,whitelist
PAC-MM-Kadabra,whitelist
PAC-MM-Minikazam,whitelist
PAC-MM-Alakazam,whitelist
PAC-MM-Variety,whitelist
PAC-MM-SynRLV2-2,whitelist
PAC-MM-SynRLV1-2,whitelist
PAC-MM-SynRLV1-SP2,whitelist
PAC-MM-SynRLV0-2,whitelist
PAC-MM-LargeRL-2,whitelist
PAC-MM-SmallIL-2,whitelist
PAC-MM-SILFA-2,whitelist
PAC-MM-SmallRLG9-2,whitelist
PAC-MM-Abra-2,whitelist
PAC-MM-SmallG9Var,whitelist
PAC-MM-SmallRLG9-9,whitelist
PAC-MM-SmallG9v2-9,whitelist
PAC-MM-Abra-9,whitelist
PAC-MM-Kadabra-9,whitelist
PAC-MM-Alakazam-9,whitelist
PAC-MM-AlakazamVar,whitelist
PAC-MM-SynRLV2-3,whitelist
PAC-MM-SynRLV1-3,whitelist
PAC-MM-SynRLV1-SP3,whitelist
PAC-MM-SynRLV0-3,whitelist
PAC-MM-LargeRL-g3,whitelist
PAC-MM-SmallIL-3,whitelist
PAC-MM-SILFA-3,whitelist
PAC-MM-SmallRLG9-3,whitelist
PAC-MM-Abra-g3,whitelist
PAC-MM-SynRLV2-4,whitelist
PAC-MM-SynRLV1-4,whitelist
PAC-MM-SynRLV1-SP4,whitelist
PAC-MM-SynRLV0-4,whitelist
PAC-MM-LargeRL-4,whitelist
PAC-MM-SmallIL-4,whitelist
PAC-MM-SILFA-4,whitelist
PAC-MM-SmallRLG9-4,whitelist
PAC-MM-Abra-4,whitelist
PAC-BH-G1Boss,whitelist
PAC-BH-G1Boss-2,whitelist
PAC-BH-G1Boss-3,whitelist
PAC-BH-G1Boss-4,whitelist
PAC-BH-G1Boss-9,whitelist
PAC-BH-Grunt,whitelist
PAC-BH-Grunt-9,whitelist
PAC-BH-GymLeader,whitelist
PAC-BH-GymLeader-2,whitelist
PAC-BH-GymLeader-3,whitelist
PAC-BH-GymLeader-4,whitelist
PAC-BH-GymLeader-9,whitelist
PAC-BH-Kaizo,whitelist
PAC-BH-Kaizo-2,whitelist
PAC-BH-Kaizo-3,whitelist
PAC-BH-Kaizo-4,whitelist
PAC-BH-Kaizo-9,whitelist
PAC-BH-PokeEnv,whitelist
PAC-BH-PokeEnv-2,whitelist
PAC-BH-PokeEnv-3,whitelist
PAC-BH-PokeEnv-4,whitelist
PAC-BH-PokeEnv-9,whitelist
PAC-BH-SSwitch-2,whitelist
PAC-BH-SSwitch-3,whitelist
PAC-BH-SSwitch-4,whitelist
PAC-BH-SSwitch-9,whitelist
PAC-BH-SmogSwitch,whitelist
PAC-MM-BaseRNN,whitelist
PAC-MM-BaseRNN-2,whitelist
PAC-MM-BaseRNN-3,whitelist
PAC-MM-BaseRNN-4,whitelist
PAC-PC-ABYSSAL,whitelist
PAC-PC-DC,whitelist
PAC-PC-MAX-POWER,whitelist
PAC-PC-gemma3-1b,whitelist
PAC-PC-gemma3-4b,whitelist
PAC-PC-llama31-8b,whitelist
PAC-PC-pokellmon,whitelist
PAC-PC-qwen3-4b,whitelist
PAC-PC-qwen3-8b,whitelist
PAC-LLM-gem25f,whitelist
PAC-LLM-gem25fl,whitelist
PAC-LLM-gem25p,whitelist
PAC-LLM-gemma3-12b,whitelist
PAC-LLM-gemma3-1b,whitelist
PAC-LLM-gemma3-4b,whitelist
PAC-LLM-gpt-oss,whitelist
PAC-LLM-llama31-8b,whitelist
PAC-LLM-qwen3-14b,whitelist
PAC-LLM-qwen3-4b,whitelist
PAC-LLM-qwen3-8b,whitelist
PAC-MM-Wildcard,whitelist
PAC-Gradient,whitelist
PAC-Porygon2AI,whitelist
PAC-Hypercursed,whitelist
PAC-VibePoking,whitelist
PAC-Punisher,whitelist
PAC-HighDragon,whitelist
PAC-MEW2,whitelist
PAC-Gradient,whitelist
PAC-Q,whitelist
PAC-4thLesson,whitelist
PAC-ADAM,whitelist
PAC-SNARCI-V1,whitelist
PAC-MAN,whitelist
PAC-Thrighun,whitelist
PAC-Zora,whitelist
PAC-los-insectos,whitelist
PAC-MAI,whitelist
PAC-THEWALL,whitelist
PACtesttesttest111,whitelist
PAC-BugCatcherFelix,whitelist
PAC-ASH-K,whitelist
PAC-Ash,whitelist
PAC-Ed-TESTING,whitelist
PAC-PA-Agent,whitelist
PAC-SiliconLife,whitelist
PAC-Ash,whitelist
PAC-POKEHACK,whitelist
PAC-STUPID,whitelist
PAC-Exp-05,whitelist
PAC-losster,whitelist
PAC-RBM,whitelist
PAC-WFT,whitelist
PAC-Ditto,whitelist
PAC-Bryce,whitelist
PAC-SiliconLife-1,whitelist
PAC-PCL,whitelist
PAC-tatoChip,whitelist
PAC-ChoiceScarfCabaret,whitelist
PAC-EPPF,whitelist
PAC-AI-IS-COOL,whitelist
PAC-Q,whitelist
PAC-FoulPlay,whitelist
PAC-SnTeam,whitelist
PAC-GCOGS,whitelist
PAC-INI,whitelist
PAC-ShiningSnow,whitelist
PAC-LeafyGreens,whitelist
PAC-Puffer,whitelist
PAC-hs3180,whitelist
PAC-piploop,whitelist
PAC-Bill'sPC,whitelist
PAC-kiki,whitelist
PAC-hida,whitelist
PAC-sphealbowl,whitelist
PAC-ROM-NYT9,whitelist
PAC-August,whitelist
PAC-MetaHorns,whitelist
