Elo	Username	W	L	T	Glicko	Rating_Deviation	GXE	Games_Played	Last_update	H2H_Data
1944.4859065125354	PAC-FoulPlay	893	331	0	1997.1	23	87.13	1224	Mon Oct 27 2025 02:52:54 GMT+0000 (Coordinated Universal Time)	{"pacpcpokellmon":{"w":3,"l":0,"t":0},"pacmmkadabra":{"w":46,"l":15,"t":0},"pacbhg1boss9":{"w":2,"l":0,"t":0},"pacpcdc":{"w":8,"l":0,"t":0},"pacmmminikazam":{"w":9,"l":2,"t":0},"pacmmalakazam9":{"w":91,"l":53,"t":0},"pacmmabra":{"w":23,"l":2,"t":0},"pacmmalakazam":{"w":59,"l":14,"t":0},"pacllmqwen38b":{"w":1,"l":0,"t":0},"pacmmsmallrlg9":{"w":17,"l":2,"t":0},"pacllmllama318b":{"w":5,"l":0,"t":0},"pacpaagent":{"w":33,"l":14,"t":0},"pacpcabyssal":{"w":8,"l":0,"t":0},"pacmmalakazamvar":{"w":88,"l":22,"t":0},"pacq":{"w":70,"l":24,"t":0},"pacmmsmallg9v29":{"w":34,"l":5,"t":0},"pacmmwildcard":{"w":124,"l":64,"t":0},"pacllmgemma34b":{"w":4,"l":0,"t":0},"pacmmmystery":{"w":122,"l":77,"t":0},"pacbhkaizo9":{"w":5,"l":1,"t":0},"pacbhgrunt9":{"w":7,"l":1,"t":0},"pacmmvariety":{"w":56,"l":21,"t":0},"pacpcmaxpower":{"w":6,"l":0,"t":0},"pacbhpokeenv9":{"w":7,"l":0,"t":0},"pacllmqwen34b":{"w":1,"l":0,"t":0},"pacedtesting":{"w":3,"l":1,"t":0},"pacpcllama318b":{"w":3,"l":0,"t":0},"pacllmqwen314b":{"w":1,"l":0,"t":0},"pacbhgymleader9":{"w":5,"l":0,"t":0},"pacllmgem25fl":{"w":7,"l":0,"t":0},"pacllmgemma312b":{"w":6,"l":0,"t":0},"pacpcqwen38b":{"w":2,"l":0,"t":0},"pacpiploop":{"w":1,"l":1,"t":0},"pacbhsswitch9":{"w":3,"l":0,"t":0},"pacaugust":{"w":2,"l":0,"t":0},"pacpcgemma31b":{"w":1,"l":0,"t":0},"pacsrsk1729":{"w":2,"l":2,"t":0},"pacpcqwen34b":{"w":1,"l":0,"t":0},"pachida":{"w":1,"l":0,"t":0},"pacmmkadabra9":{"w":5,"l":1,"t":0},"pacllmgptoss":{"w":2,"l":0,"t":0},"pacllmgem25f":{"w":2,"l":0,"t":0},"pacashk":{"w":1,"l":0,"t":0},"pachypercursed":{"w":2,"l":0,"t":0},"pacpcgemma34b":{"w":1,"l":0,"t":0},"pacmetahorns":{"w":2,"l":0,"t":0},"pacexp05":{"w":8,"l":7,"t":0},"pacash":{"w":2,"l":2,"t":0},"pacgcogs":{"w":1,"l":0,"t":0}}
1920.8669850728927	PAC-MM-Kadabra-9	191	86	0	1921.1	23	83.48	277	Sat Oct 25 2025 09:14:26 GMT+0000 (Coordinated Universal Time)	{"pacpcpokellmon":{"w":2,"l":0,"t":0},"pacllmllama318b":{"w":1,"l":0,"t":0},"pacmmkadabra":{"w":14,"l":3,"t":0},"pacpcmaxpower":{"w":3,"l":0,"t":0},"pacpcgemma34b":{"w":1,"l":0,"t":0},"pacbhpokeenv9":{"w":3,"l":0,"t":0},"pacpcqwen34b":{"w":1,"l":0,"t":0},"pacmmsmallrlg9":{"w":6,"l":0,"t":0},"pacbhsswitch9":{"w":2,"l":0,"t":0},"pacbhgymleader9":{"w":2,"l":0,"t":0},"pacllmgemma31b":{"w":1,"l":0,"t":0},"pacllmgem25fl":{"w":5,"l":0,"t":0},"pacpcabyssal":{"w":2,"l":0,"t":0},"pacaugust":{"w":1,"l":0,"t":0},"pacmmalakazam":{"w":24,"l":11,"t":0},"pacmmabra":{"w":11,"l":1,"t":0},"pacmmminikazam":{"w":6,"l":0,"t":0},"pacmmwildcard":{"w":13,"l":18,"t":0},"pacmmvariety":{"w":21,"l":8,"t":0},"pacmmalakazam9":{"w":11,"l":13,"t":0},"pacmmsmallg9v29":{"w":10,"l":2,"t":0},"pacmmalakazamvar":{"w":21,"l":5,"t":0},"pachypercursed":{"w":1,"l":0,"t":0},"pacmmmystery":{"w":17,"l":13,"t":0},"pacfoulplay":{"w":1,"l":5,"t":0},"pacpcl":{"w":1,"l":0,"t":0},"pacsrsk1729":{"w":7,"l":7,"t":0},"pacbhgrunt9":{"w":1,"l":0,"t":0},"pacbhkaizo9":{"w":1,"l":0,"t":0},"pacllmqwen38b":{"w":1,"l":0,"t":0}}
1890.71977191257	PAC-Ash	287	155	0	1818.5	23	77.3	442	Mon Oct 27 2025 03:56:51 GMT+0000 (Coordinated Universal Time)	{"pacbhkaizo9":{"w":5,"l":1,"t":0},"pacmmvariety":{"w":20,"l":12,"t":0},"pacmmkadabra":{"w":10,"l":6,"t":0},"pacmmalakazamvar":{"w":16,"l":13,"t":0},"pacllmgemma34b":{"w":2,"l":1,"t":0},"pacbhgrunt9":{"w":4,"l":1,"t":0},"pacmmalakazam":{"w":19,"l":10,"t":0},"pacpcpokellmon":{"w":2,"l":0,"t":0},"pacllmqwen314b":{"w":1,"l":0,"t":0},"pacllmgemma312b":{"w":4,"l":1,"t":0},"pacpcmaxpower":{"w":6,"l":0,"t":0},"pacbhpokeenv9":{"w":0,"l":1,"t":0},"pacllmllama318b":{"w":5,"l":1,"t":0},"pacpcqwen38b":{"w":2,"l":0,"t":0},"pacpcllama318b":{"w":0,"l":1,"t":0},"pacpcgemma34b":{"w":3,"l":1,"t":0},"pacmmabra":{"w":13,"l":6,"t":0},"pacpaagent":{"w":16,"l":14,"t":0},"pacllmgemma31b":{"w":2,"l":0,"t":0},"pacllmgptoss":{"w":2,"l":0,"t":0},"pacq":{"w":1,"l":1,"t":0},"pacllmgem25f":{"w":3,"l":1,"t":0},"pacpcdc":{"w":2,"l":1,"t":0},"pacmmsmallg9v29":{"w":11,"l":6,"t":0},"pacllmgem25fl":{"w":2,"l":0,"t":0},"pacpcabyssal":{"w":3,"l":2,"t":0},"pacmmwildcard":{"w":18,"l":19,"t":0},"pacmmsmallrlg9":{"w":4,"l":2,"t":0},"pacmmminikazam":{"w":7,"l":2,"t":0},"pacpcqwen34b":{"w":2,"l":0,"t":0},"pacexp05":{"w":22,"l":7,"t":0},"pacbhsswitch9":{"w":3,"l":1,"t":0},"pacmmmystery":{"w":9,"l":12,"t":0},"pachypercursed":{"w":2,"l":5,"t":0},"pacashk":{"w":2,"l":0,"t":0},"pacpcgemma31b":{"w":2,"l":0,"t":0},"pacbhgymleader9":{"w":3,"l":0,"t":0},"pacpcl":{"w":1,"l":0,"t":0},"pacmmalakazam9":{"w":22,"l":10,"t":0},"pacllmqwen38b":{"w":1,"l":0,"t":0},"pacllmqwen34b":{"w":2,"l":0,"t":0},"pacgcogs":{"w":22,"l":7,"t":0},"pacsphealbowl":{"w":1,"l":0,"t":0},"pacporygon2ai":{"w":6,"l":1,"t":0},"pacfoulplay":{"w":2,"l":2,"t":0},"pacpiploop":{"w":2,"l":7,"t":0}}
1887.6839504844775	PAC-MM-Wildcard	4243	2092	1	1895.6	23	82.08	6336	Mon Oct 27 2025 03:55:53 GMT+0000 (Coordinated Universal Time)	{"pacbhg1boss9":{"w":28,"l":0,"t":0},"pacmmmystery":{"w":487,"l":401,"t":0},"pacmmkadabra":{"w":282,"l":86,"t":0},"pacpaagent":{"w":219,"l":133,"t":0},"pacmmalakazam9":{"w":437,"l":341,"t":0},"pacbhkaizo9":{"w":30,"l":0,"t":0},"pacmmsmallrlg9":{"w":120,"l":18,"t":0},"pacmmvariety":{"w":373,"l":204,"t":0},"pacmmabra":{"w":171,"l":22,"t":0},"pacbhsswitch9":{"w":48,"l":0,"t":0},"pacmmalakazamvar":{"w":423,"l":219,"t":0},"pacpcabyssal":{"w":43,"l":2,"t":0},"pacllmgemma34b":{"w":12,"l":0,"t":0},"pacmmsmallg9v29":{"w":179,"l":26,"t":0},"pacllmgem25fl":{"w":33,"l":1,"t":0},"pacq":{"w":324,"l":221,"t":1},"pacmmalakazam":{"w":406,"l":176,"t":0},"pacllmgemma31b":{"w":8,"l":0,"t":0},"pacpcdc":{"w":38,"l":0,"t":0},"pacpcmaxpower":{"w":21,"l":0,"t":0},"pacpcpokellmon":{"w":14,"l":0,"t":0},"pacllmgemma312b":{"w":20,"l":0,"t":0},"pacmmminikazam":{"w":80,"l":8,"t":0},"pacpcllama318b":{"w":5,"l":0,"t":0},"pacbhgymleader9":{"w":33,"l":1,"t":0},"pacpcqwen34b":{"w":6,"l":0,"t":0},"pacllmqwen34b":{"w":12,"l":0,"t":0},"pacllmllama318b":{"w":25,"l":0,"t":0},"pacbhpokeenv9":{"w":35,"l":2,"t":0},"pacpcgemma34b":{"w":12,"l":1,"t":0},"pacbhgrunt9":{"w":31,"l":2,"t":0},"pacfoulplay":{"w":64,"l":124,"t":0},"pacllmgptoss":{"w":7,"l":1,"t":0},"packaban":{"w":5,"l":0,"t":0},"pacgcogs":{"w":25,"l":5,"t":0},"pacpcgemma31b":{"w":1,"l":0,"t":0},"pacllmgem25f":{"w":4,"l":1,"t":0},"pacpcqwen38b":{"w":5,"l":0,"t":0},"pacedtesting":{"w":16,"l":8,"t":0},"pacllmqwen38b":{"w":5,"l":0,"t":0},"pachida":{"w":4,"l":0,"t":0},"pacllmqwen314b":{"w":6,"l":0,"t":0},"pacini":{"w":5,"l":0,"t":0},"pacash":{"w":19,"l":18,"t":0},"pacpiploop":{"w":23,"l":15,"t":0},"pacpcl":{"w":1,"l":0,"t":0},"pacaugust":{"w":6,"l":0,"t":0},"pacsrsk1729":{"w":11,"l":4,"t":0},"pachypercursed":{"w":8,"l":0,"t":0},"pacmmkadabra9":{"w":18,"l":13,"t":0},"pacexp05":{"w":31,"l":32,"t":0},"pacvibepoking":{"w":1,"l":0,"t":0},"pacmetahorns":{"w":10,"l":3,"t":0},"pacporygon2ai":{"w":13,"l":4,"t":0}}
1871.9284113474114	PAC-Exp-05	571	424	5	1820.2	23	77.41	1000	Mon Oct 27 2025 03:59:28 GMT+0000 (Coordinated Universal Time)	{"pacpcmaxpower":{"w":11,"l":2,"t":0},"pacbhg1boss9":{"w":12,"l":1,"t":0},"pacpcdc":{"w":12,"l":6,"t":0},"pacllmllama318b":{"w":11,"l":7,"t":0},"pacbhkaizo9":{"w":17,"l":9,"t":0},"pacllmqwen314b":{"w":3,"l":3,"t":1},"pacmmsmallrlg9":{"w":21,"l":13,"t":0},"pacbhgrunt9":{"w":9,"l":14,"t":0},"pacpcqwen38b":{"w":0,"l":2,"t":0},"pacbhgymleader9":{"w":11,"l":14,"t":0},"pacpcgemma31b":{"w":1,"l":3,"t":0},"pacmmwildcard":{"w":32,"l":31,"t":0},"pacllmqwen38b":{"w":2,"l":0,"t":1},"pacbhpokeenv9":{"w":14,"l":14,"t":0},"pacllmgem25fl":{"w":11,"l":4,"t":1},"pacmmsmallg9v29":{"w":20,"l":10,"t":0},"pacbhsswitch9":{"w":18,"l":18,"t":0},"pacaugust":{"w":6,"l":2,"t":0},"pacllmgemma34b":{"w":9,"l":4,"t":0},"pacpcabyssal":{"w":13,"l":7,"t":1},"pacllmgemma312b":{"w":11,"l":3,"t":0},"pacpcpokellmon":{"w":6,"l":3,"t":0},"pacmmalakazamvar":{"w":35,"l":25,"t":0},"pacmmabra":{"w":20,"l":7,"t":0},"pacllmgemma31b":{"w":4,"l":0,"t":0},"pacmmmystery":{"w":17,"l":32,"t":0},"pacmmminikazam":{"w":8,"l":11,"t":0},"pacpcllama318b":{"w":4,"l":3,"t":1},"pacmmalakazam9":{"w":35,"l":27,"t":0},"pacllmgem25f":{"w":4,"l":4,"t":0},"pacpcgemma34b":{"w":5,"l":4,"t":0},"pacllmgptoss":{"w":3,"l":1,"t":0},"pacmmkadabra":{"w":17,"l":10,"t":0},"pacmmvariety":{"w":36,"l":23,"t":0},"pachypercursed":{"w":6,"l":7,"t":0},"pacvibepoking":{"w":1,"l":1,"t":0},"pacashk":{"w":1,"l":4,"t":0},"pacpcqwen34b":{"w":3,"l":0,"t":0},"pacash":{"w":7,"l":22,"t":0},"pacpaagent":{"w":35,"l":30,"t":0},"pacllmqwen34b":{"w":3,"l":0,"t":0},"pacpcl":{"w":1,"l":1,"t":0},"pacpiploop":{"w":6,"l":6,"t":0},"pacmetahorns":{"w":5,"l":7,"t":0},"pachida":{"w":0,"l":3,"t":0},"pacmmalakazam":{"w":26,"l":11,"t":0},"pacfoulplay":{"w":7,"l":8,"t":0},"pacq":{"w":10,"l":2,"t":0},"pacgcogs":{"w":18,"l":4,"t":0},"pacporygon2ai":{"w":4,"l":1,"t":0}}
1867.5049108182839	PAC-MM-Mystery	4072	1990	1	1871.1	23	80.65	6063	Mon Oct 27 2025 03:59:22 GMT+0000 (Coordinated Universal Time)	{"pacbhgrunt9":{"w":48,"l":0,"t":0},"pacmmsmallrlg9":{"w":135,"l":14,"t":0},"pacbhsswitch9":{"w":51,"l":4,"t":0},"pacmmwildcard":{"w":401,"l":487,"t":0},"pacmmalakazam9":{"w":396,"l":317,"t":0},"pacmmminikazam":{"w":101,"l":11,"t":0},"pacmmabra":{"w":171,"l":29,"t":0},"pacpaagent":{"w":210,"l":105,"t":0},"pacmmalakazamvar":{"w":418,"l":194,"t":0},"pacmmalakazam":{"w":362,"l":152,"t":0},"pacmmsmallg9v29":{"w":179,"l":25,"t":0},"pacmmkadabra":{"w":291,"l":63,"t":0},"pacpcpokellmon":{"w":15,"l":0,"t":0},"pacmmvariety":{"w":379,"l":194,"t":1},"pacpcmaxpower":{"w":21,"l":0,"t":0},"pacbhpokeenv9":{"w":36,"l":1,"t":0},"pacbhgymleader9":{"w":34,"l":3,"t":0},"pacbhkaizo9":{"w":33,"l":0,"t":0},"pacpcabyssal":{"w":45,"l":3,"t":0},"pacllmgemma312b":{"w":18,"l":1,"t":0},"pacllmgptoss":{"w":11,"l":0,"t":0},"pacpcgemma31b":{"w":12,"l":0,"t":0},"pacllmgem25fl":{"w":20,"l":1,"t":0},"pacllmgemma31b":{"w":13,"l":0,"t":0},"pacq":{"w":290,"l":183,"t":0},"pacllmgemma34b":{"w":14,"l":0,"t":0},"pacpcllama318b":{"w":9,"l":0,"t":0},"pacllmllama318b":{"w":19,"l":0,"t":0},"pacpcgemma34b":{"w":20,"l":0,"t":0},"pacpcqwen34b":{"w":9,"l":0,"t":0},"pacllmqwen34b":{"w":6,"l":0,"t":0},"pacpcdc":{"w":26,"l":1,"t":0},"pacpcqwen38b":{"w":8,"l":0,"t":0},"pacfoulplay":{"w":77,"l":122,"t":0},"pacbhg1boss9":{"w":14,"l":0,"t":0},"pacgcogs":{"w":20,"l":4,"t":0},"pacllmgem25f":{"w":11,"l":0,"t":0},"packaban":{"w":3,"l":0,"t":0},"pacllmqwen314b":{"w":5,"l":0,"t":0},"pacllmqwen38b":{"w":3,"l":0,"t":0},"pacedtesting":{"w":8,"l":4,"t":0},"pachida":{"w":4,"l":0,"t":0},"pacpcl":{"w":3,"l":0,"t":0},"pacvibepoking":{"w":2,"l":0,"t":0},"pacini":{"w":2,"l":0,"t":0},"pacaugust":{"w":4,"l":0,"t":0},"pacsrsk1729":{"w":6,"l":1,"t":0},"pacmmkadabra9":{"w":13,"l":17,"t":0},"pacexp05":{"w":32,"l":17,"t":0},"pachypercursed":{"w":7,"l":0,"t":0},"pacash":{"w":12,"l":9,"t":0},"pacashk":{"w":1,"l":0,"t":0},"pacpiploop":{"w":17,"l":16,"t":0},"pacmetahorns":{"w":12,"l":2,"t":0},"pacporygon2ai":{"w":15,"l":10,"t":0}}
1843.4331190936277	PAC-MM-Alakazam-9	3777	2338	2	1847.1	23	79.17	6117	Mon Oct 27 2025 03:59:54 GMT+0000 (Coordinated Universal Time)	{"pacbhgymleader9":{"w":31,"l":0,"t":0},"pacmmsmallg9v29":{"w":171,"l":43,"t":0},"pacmmsmallrlg9":{"w":128,"l":19,"t":0},"pacmmabra":{"w":169,"l":28,"t":0},"pacmmmystery":{"w":317,"l":396,"t":0},"pacpaagent":{"w":168,"l":168,"t":0},"pacmmwildcard":{"w":341,"l":437,"t":0},"pacmmminikazam":{"w":100,"l":4,"t":0},"pacbhgrunt9":{"w":41,"l":1,"t":0},"pacmmalakazamvar":{"w":396,"l":260,"t":0},"pacmmkadabra":{"w":311,"l":95,"t":1},"pacllmllama318b":{"w":19,"l":0,"t":0},"pacllmqwen314b":{"w":7,"l":0,"t":0},"pacpcqwen38b":{"w":5,"l":0,"t":0},"pacmmalakazam":{"w":395,"l":186,"t":0},"pacllmgem25fl":{"w":18,"l":0,"t":0},"pacq":{"w":235,"l":261,"t":0},"pacbhpokeenv9":{"w":52,"l":1,"t":0},"pacmmvariety":{"w":371,"l":226,"t":1},"pacpcdc":{"w":33,"l":0,"t":0},"pacllmgemma312b":{"w":12,"l":0,"t":0},"pacpcabyssal":{"w":43,"l":1,"t":0},"pacpcmaxpower":{"w":20,"l":0,"t":0},"pacllmqwen34b":{"w":8,"l":0,"t":0},"pacllmgemma31b":{"w":10,"l":0,"t":0},"pacpcgemma34b":{"w":8,"l":2,"t":0},"pacllmgptoss":{"w":9,"l":0,"t":0},"pacllmgem25f":{"w":15,"l":0,"t":0},"pacbhsswitch9":{"w":49,"l":1,"t":0},"pacfoulplay":{"w":53,"l":91,"t":0},"pacllmgemma34b":{"w":12,"l":0,"t":0},"pacllmqwen38b":{"w":4,"l":0,"t":0},"pacpcgemma31b":{"w":10,"l":0,"t":0},"pacgcogs":{"w":15,"l":3,"t":0},"pacbhg1boss9":{"w":13,"l":0,"t":0},"pacbhkaizo9":{"w":27,"l":0,"t":0},"pacpcpokellmon":{"w":17,"l":0,"t":0},"pacpcqwen34b":{"w":6,"l":0,"t":0},"packaban":{"w":4,"l":0,"t":0},"pacpcl":{"w":4,"l":0,"t":0},"pacpcllama318b":{"w":9,"l":0,"t":0},"pacedtesting":{"w":7,"l":14,"t":0},"pacsrsk1729":{"w":9,"l":5,"t":0},"pachida":{"w":3,"l":2,"t":0},"pacini":{"w":3,"l":0,"t":0},"pacpiploop":{"w":16,"l":14,"t":0},"pacvibepoking":{"w":3,"l":0,"t":0},"pacmmkadabra9":{"w":13,"l":11,"t":0},"pacaugust":{"w":3,"l":1,"t":0},"pacexp05":{"w":27,"l":35,"t":0},"pacsphealbowl":{"w":1,"l":0,"t":0},"pachypercursed":{"w":4,"l":0,"t":0},"pacmetahorns":{"w":12,"l":4,"t":0},"pacash":{"w":10,"l":22,"t":0},"pacporygon2ai":{"w":10,"l":7,"t":0}}
1822.667920050155	PAC-Q	2813	2034	1	1815.7	23	77.11	4848	Sun Oct 26 2025 18:16:22 GMT+0000 (Coordinated Universal Time)	{"pacpcgemma34b":{"w":11,"l":0,"t":0},"pacmmwildcard":{"w":221,"l":324,"t":1},"pacbhgymleader9":{"w":26,"l":1,"t":0},"pacpcdc":{"w":25,"l":2,"t":0},"pacllmgemma312b":{"w":19,"l":0,"t":0},"pacbhkaizo9":{"w":31,"l":2,"t":0},"pacmmalakazam":{"w":227,"l":218,"t":0},"pacmmalakazamvar":{"w":218,"l":217,"t":0},"pacllmllama318b":{"w":16,"l":0,"t":0},"pacmmsmallrlg9":{"w":106,"l":32,"t":0},"pacmmvariety":{"w":251,"l":226,"t":0},"pacpcpokellmon":{"w":20,"l":0,"t":0},"pacpcabyssal":{"w":26,"l":2,"t":0},"pacpcqwen34b":{"w":11,"l":0,"t":0},"pacpcllama318b":{"w":6,"l":0,"t":0},"pacmmalakazam9":{"w":261,"l":235,"t":0},"pacpaagent":{"w":188,"l":98,"t":0},"pacmmmystery":{"w":183,"l":290,"t":0},"pacmmsmallg9v29":{"w":145,"l":64,"t":0},"pacllmgemma31b":{"w":8,"l":0,"t":0},"pacmmkadabra":{"w":251,"l":138,"t":0},"pacllmgem25fl":{"w":17,"l":0,"t":0},"pacbhpokeenv9":{"w":33,"l":2,"t":0},"pacllmgem25f":{"w":10,"l":2,"t":0},"pacmmabra":{"w":158,"l":45,"t":0},"pacpcqwen38b":{"w":7,"l":0,"t":0},"pacllmqwen38b":{"w":10,"l":0,"t":0},"pacpcgemma31b":{"w":7,"l":1,"t":0},"pacbhsswitch9":{"w":39,"l":1,"t":0},"pacmmminikazam":{"w":88,"l":21,"t":0},"pacpcmaxpower":{"w":20,"l":2,"t":0},"pacbhg1boss9":{"w":10,"l":0,"t":0},"pacllmgptoss":{"w":9,"l":0,"t":0},"pacllmgemma34b":{"w":11,"l":0,"t":0},"pacfoulplay":{"w":24,"l":70,"t":0},"pacllmqwen314b":{"w":8,"l":0,"t":0},"pacllmqwen34b":{"w":3,"l":0,"t":0},"pacgcogs":{"w":18,"l":4,"t":0},"pacbhgrunt9":{"w":42,"l":2,"t":0},"packaban":{"w":3,"l":0,"t":0},"pacedtesting":{"w":24,"l":19,"t":0},"pachida":{"w":6,"l":1,"t":0},"pacsrsk1729":{"w":3,"l":1,"t":0},"pacpcl":{"w":2,"l":1,"t":0},"pacini":{"w":1,"l":0,"t":0},"pacash":{"w":1,"l":1,"t":0},"pacpiploop":{"w":4,"l":0,"t":0},"pacmetahorns":{"w":3,"l":2,"t":0},"pacexp05":{"w":2,"l":10,"t":0}}
1782.2150043871131	PAC-PA-Agent	2021	1630	0	1818.4	23	77.29	3651	Mon Oct 27 2025 03:59:22 GMT+0000 (Coordinated Universal Time)	{"pacbhg1boss9":{"w":18,"l":0,"t":0},"pacbhgymleader9":{"w":25,"l":3,"t":0},"pacbhkaizo9":{"w":16,"l":2,"t":0},"pacllmgemma31b":{"w":9,"l":0,"t":0},"pacmmsmallg9v29":{"w":124,"l":39,"t":0},"pacmmkadabra":{"w":144,"l":99,"t":0},"pacbhgrunt9":{"w":22,"l":2,"t":0},"pacmmalakazam9":{"w":168,"l":168,"t":0},"pacmmwildcard":{"w":133,"l":219,"t":0},"pacmmmystery":{"w":105,"l":210,"t":0},"pacmmabra":{"w":125,"l":43,"t":0},"pacllmgemma34b":{"w":14,"l":0,"t":0},"pacmmminikazam":{"w":65,"l":13,"t":0},"pacmmsmallrlg9":{"w":78,"l":21,"t":0},"pacmmalakazamvar":{"w":168,"l":174,"t":0},"pacllmllama318b":{"w":16,"l":0,"t":0},"pacpcmaxpower":{"w":10,"l":1,"t":0},"pacbhsswitch9":{"w":29,"l":2,"t":0},"pacllmgem25fl":{"w":13,"l":1,"t":0},"pacmmalakazam":{"w":168,"l":173,"t":0},"pacmmvariety":{"w":149,"l":138,"t":0},"pacpcabyssal":{"w":26,"l":3,"t":0},"pacpcqwen38b":{"w":4,"l":0,"t":0},"pacllmgemma312b":{"w":19,"l":0,"t":0},"pacq":{"w":98,"l":188,"t":0},"pacllmgptoss":{"w":7,"l":0,"t":0},"pacpcgemma31b":{"w":9,"l":1,"t":0},"pacbhpokeenv9":{"w":25,"l":3,"t":0},"pacllmqwen38b":{"w":9,"l":0,"t":0},"pacpcdc":{"w":17,"l":1,"t":0},"pacpcgemma34b":{"w":5,"l":1,"t":0},"pacllmqwen34b":{"w":8,"l":0,"t":0},"pacfoulplay":{"w":14,"l":33,"t":0},"pachida":{"w":5,"l":0,"t":0},"pacpcllama318b":{"w":4,"l":0,"t":0},"pacpcpokellmon":{"w":7,"l":1,"t":0},"packaban":{"w":3,"l":0,"t":0},"pacllmqwen314b":{"w":8,"l":0,"t":0},"pacgcogs":{"w":21,"l":8,"t":0},"pacsrsk1729":{"w":4,"l":0,"t":0},"pacedtesting":{"w":4,"l":7,"t":0},"pacvibepoking":{"w":1,"l":0,"t":0},"pacpcqwen34b":{"w":3,"l":0,"t":0},"pacpcl":{"w":3,"l":1,"t":0},"pacash":{"w":14,"l":16,"t":0},"pacashk":{"w":1,"l":0,"t":0},"pachypercursed":{"w":3,"l":0,"t":0},"pacexp05":{"w":30,"l":35,"t":0},"pacaugust":{"w":3,"l":0,"t":0},"pacpiploop":{"w":23,"l":10,"t":0},"pacmetahorns":{"w":19,"l":4,"t":0},"pacllmgem25f":{"w":1,"l":0,"t":0},"pacporygon2ai":{"w":24,"l":10,"t":0}}
1761.6542809459131	PAC-piploop	255	173	0	1812.1	23	76.86	428	Mon Oct 27 2025 03:03:58 GMT+0000 (Coordinated Universal Time)	{"pacllmgemma34b":{"w":2,"l":0,"t":0},"pacbhg1boss9":{"w":1,"l":0,"t":0},"pacini":{"w":1,"l":0,"t":0},"pacpcgemma34b":{"w":2,"l":0,"t":0},"pacpcdc":{"w":3,"l":0,"t":0},"pacbhgrunt9":{"w":3,"l":0,"t":0},"pacmmsmallrlg9":{"w":6,"l":1,"t":0},"pacpcqwen38b":{"w":2,"l":0,"t":0},"pacpcabyssal":{"w":2,"l":0,"t":0},"pacpcmaxpower":{"w":6,"l":0,"t":0},"pacbhsswitch9":{"w":5,"l":0,"t":0},"pacllmqwen34b":{"w":1,"l":0,"t":0},"pacmmminikazam":{"w":6,"l":0,"t":0},"pacbhgymleader9":{"w":4,"l":0,"t":0},"pacmmkadabra":{"w":13,"l":15,"t":0},"pacllmgem25fl":{"w":1,"l":0,"t":0},"pacmmwildcard":{"w":15,"l":23,"t":0},"pacmmsmallg9v29":{"w":18,"l":2,"t":0},"pacq":{"w":0,"l":4,"t":0},"pacmmalakazam9":{"w":14,"l":16,"t":0},"pacmmabra":{"w":16,"l":4,"t":0},"pacmmvariety":{"w":19,"l":21,"t":0},"pacmmalakazam":{"w":21,"l":8,"t":0},"pacmmalakazamvar":{"w":21,"l":18,"t":0},"pacpcpokellmon":{"w":2,"l":0,"t":0},"pacbhkaizo9":{"w":1,"l":0,"t":0},"pacllmgptoss":{"w":1,"l":0,"t":0},"pacfoulplay":{"w":1,"l":1,"t":0},"pacllmgemma31b":{"w":1,"l":0,"t":0},"pacllmgemma312b":{"w":2,"l":0,"t":0},"pacmmmystery":{"w":16,"l":17,"t":0},"pacllmgem25f":{"w":1,"l":0,"t":0},"pacexp05":{"w":6,"l":6,"t":0},"pachypercursed":{"w":3,"l":1,"t":0},"pacmetahorns":{"w":2,"l":1,"t":0},"pacpaagent":{"w":10,"l":23,"t":0},"pacbhpokeenv9":{"w":1,"l":0,"t":0},"pacash":{"w":7,"l":2,"t":0},"pacporygon2ai":{"w":8,"l":9,"t":0},"pacgcogs":{"w":11,"l":1,"t":0}}
