Showdown Username,Discord Usernames
PAC-4thLesson,KGB & 박상연 & Eunju Kwon & Yujin Kim
PAC-ADAM,adam09199
PAC-AI-IS-COOL,._bob_
PAC-Ash,dmytro_the_explorer
PAC-ASH-K,etudette
PAC-August,august2711 & sigma_alphawolf99 & hatwithcat
PAC-Bill'sPC,Cathaplexy
PAC-Bryce,
PAC-BugCatcherFelix,_qed
PAC-ChoiceScarfCabaret,cjbarb7 & CRQ & Oneday321 & tian_39685 & j.ssica
PAC-Ditto,triplez & xx
PAC-Ed-TESTING,EE.DD
PAC-ED-Testing and other PAC-ED bots that appear,EE.DD
PAC-EPPF,maychelle0636 & haihai007222 & sanjing_y_81665 & staredens159_63884 & aaron_di & mira_verse & abd_0914
PAC-Exp-05,ahmadfarooq0809
PAC-FoulPlay,pmariglia
PAC-GCOGS,
PAC-Gradient,believe & shuo & hollow
PAC-hida,hida1211_52931 & kurohyou64
PAC-HighDragon,chinnum97
PAC-hs3180,
PAC-Hypercursed,rilsahi & naumal & simjk & xXG4M3RXx123 & premsa_
PAC-INI,mpapini
PAC-kiki,Kikiabd7344
PAC-LeafyGreens,"""notspinach"" & ""andy n"" on the PokeAgent server"
PAC-los-insectos,_justconfused
PAC-losster,vovw & umbrella___ & crisiumnih
PAC-MAI,tanminhnguyen0254 & noellleon & ryanltz1
PAC-MAN,
PAC-MetaHorns,Sojo & Niv
PAC-MEW2,astroai
PAC-PA-Agent,polarisshi
PAC-PCL,scixing
PAC-piploop,underdogg & neural & gerald
PAC-POKEHACK,rocklee8558 & amanime & sneakycheese3 & ratte24_78600 & anish_j1 & sanny_bhar & ceopranav555
PAC-Porygon2AI,spktrm
PAC-Puffer,_tipa_ & thatguy11325
PAC-Punisher,skykingrayquaza_12436
PAC-Q,qiao
PAC-RBM,red bird
PAC-ROM-NYT9,rohitm7
PAC-ShiningSnow,ShiningSnow
PAC-SNARCI-V1,Snarci
PAC-SnTeam,.gourmet & luceurre & joker0438 & inpprenable & orionss
PAC-sphealbowl,plebias_001
PAC-STUPID,noname466
PAC-tatoChip,isaiah1546
PAC-THEWALL,tmberooni
PAC-Thrighun,Thrighun
PAC-VibePoking,leebokei & ddd.dong & 0x.yuan & user_howard
PAC-WFT,wong6837
PAC-Zora,
PACtesttesttest111,
